0, 1, 0, 0c14, 0bc8, 0, 1
1, 0, 0, 0bdc, 0bc8, 2, 0
1, 1, 0, 0c14, 0bc8, 0, 0
1, 1, 0, 0c14, 0bc8, 0, 0
0, 1, 0, 0bcc, 0bc4, 0, 1
0, 1, 0, 0ba4, 0b90, 0, 1
0, 1, 0, 0bd4, 0bb8, 0, 1
0, 1, 0, 0bb0, 0bd4, 0, 1
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 0, 0, 0bb0, 0bb8, 3, 0
0, 1, 0, 0bdc, 0bc0, 0, 1
0, 1, 0, 0c00, 0be0, 0, 1
0, 1, 0, 0be4, 0c10, 0, 1
1, 1, 0, 0bdc, 0bc0, 2, 0
1, 1, 0, 0c00, 0be0, 3, 0
1, 1, 0, 0be4, 0c10, 0, 0
1, 1, 0, 0bdc, 0bc0, 2, 0
1, 1, 0, 0c00, 0be0, 3, 0
1, 1, 0, 0be4, 0c10, 0, 0
1, 1, 0, 0bdc, 0bc0, 2, 0
1, 1, 0, 0c00, 0be0, 3, 0
1, 1, 0, 0be4, 0c10, 0, 0
1, 0, 0, 0bdc, 0c10, 2, 0
0, 1, 0, 0c14, 0bc8, 0, 1
1, 0, 0, 0bdc, 0bc8, 2, 0
1, 1, 0, 0c14, 0bc8, 3, 0
1, 0, 0, 0c14, 0bc8, 3, 0
1, 1, 0, 0ba4, 0b90, 1, 0
0, 1, 0, 0bd4, 0bb8, 0, 1
0, 1, 0, 0bb0, 0bd4, 0, 1
1, 1, 0, 0bd4, 0bb8, 0, 0
1, 1, 0, 0bb0, 0bd4, 1, 0
1, 1, 0, 0bd4, 0bb8, 0, 0
1, 1, 0, 0bb0, 0bd4, 1, 0
1, 1, 0, 0bd4, 0bb8, 0, 0
1, 1, 0, 0bb0, 0bd4, 1, 0
1, 1, 0, 0bd4, 0bb8, 0, 0
1, 1, 0, 0bb0, 0bd4, 1, 0
1, 1, 0, 0bd4, 0bb8, 0, 0
1, 1, 0, 0bb0, 0bd4, 1, 0
1, 1, 0, 0bd4, 0bb8, 0, 0
1, 1, 0, 0bb0, 0bd4, 1, 0
1, 1, 0, 0bd4, 0bb8, 0, 0
1, 0, 0, 0bb0, 0bb8, 1, 0
1, 1, 0, 0bdc, 0bc0, 2, 0
0, 1, 0, 0c00, 0be0, 0, 1
0, 1, 0, 0be4, 0c10, 0, 1
0, 1, 0, 0c24, 0bf0, 0, 1
0, 1, 0, 0bdc, 0bc0, 0, 1
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0be4, 0c10, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0be4, 0c10, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0be4, 0c10, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0be4, 0c10, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0be4, 0c10, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0be4, 0c10, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 0, 0, 0be4, 0be0, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 0, 0, 0be4, 0be0, 2, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0bdc, 0bc0, 0, 0
1, 1, 0, 0c00, 0be0, 1, 0
1, 1, 0, 0be4, 0c10, 2, 0
1, 0, 0, 0bdc, 0c10, 0, 0
0, 1, 0, 0c14, 0bc8, 0, 1
1, 0, 0, 0bdc, 0bc8, 0, 0
0, 1, 0, 0bcc, 0bc4, 0, 1
0, 1, 0, 0ba4, 0b90, 0, 1
0, 1, 0, 0bd4, 0bb8, 0, 1
0, 1, 0, 0bb0, 0bd4, 0, 1
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 1, 0, 0bb0, 0bd4, 3, 0
1, 1, 0, 0bd4, 0bb8, 2, 0
1, 0, 0, 0bb0, 0bb8, 3, 0
0, 1, 0, 0bdc, 0bc0, 0, 1
0, 1, 0, 0c00, 0be0, 0, 1
0, 1, 0, 0be4, 0c10, 0, 1
1, 1, 0, 0bdc, 0bc0, 2, 0
1, 1, 0, 0c00, 0be0, 3, 0
